Date,Open,High,Low,Close
1695578400,6.91767740067954e-7,6.92101708009947e-7,6.80204986876066e-7,6.81936485379173e-7
1695582000,6.81936485379173e-7,6.86132204673917e-7,6.77420925895143e-7,6.824726969295e-7
1695585600,6.824726969295e-7,6.88200726983438e-7,6.78577988767609e-7,6.84081843964675e-7
1695589200,6.84081843964675e-7,6.88638949503644e-7,6.81944152822301e-7,6.81944152822301e-7
1695592800,6.81944152822301e-7,6.88332875325004e-7,6.81822025253089e-7,6.88332875325004e-7
1695596400,6.88332875325004e-7,6.88409870739594e-7,6.68393137844323e-7,6.69939164124886e-7
1695600000,6.69939164124886e-7,6.7509077756603e-7,6.66176226558959e-7,6.7509077756603e-7
1695603600,6.7509077756603e-7,6.8669870364247e-7,6.73903399220283e-7,6.8669870364247e-7
1695607200,6.8669870364247e-7,6.98409984393413e-7,6.86064580379711e-7,6.93776827945101e-7
1695610800,6.93776827945101e-7,6.98081466438198e-7,6.88582605332724e-7,6.89010948184014e-7
1695614400,6.89010948184014e-7,6.98125376880176e-7,6.92646719111747e-7,6.93933116621197e-7
1695618000,6.93933116621197e-7,6.95682049831621e-7,6.86548408198791e-7,6.86548408198791e-7
1695621600,6.86548408198791e-7,6.88739444923317e-7,6.82427841729773e-7,6.87983095290875e-7
1695625200,6.87983095290875e-7,6.93388501532935e-7,6.85069274306199e-7,6.93388501532935e-7
1695628800,6.93388501532935e-7,7.15132199974623e-7,6.89234479092781e-7,7.08691110855688e-7
1695632400,7.08691110855688e-7,7.07402302755554e-7,6.85544395956526e-7,6.89459715256552e-7
1695636000,6.89459715256552e-7,6.93717864827485e-7,6.85140593429225e-7,6.93717864827485e-7
1695639600,6.93717864827485e-7,6.91851083278579e-7,6.86382013599951e-7,6.91851083278579e-7
1695643200,6.91851083278579e-7,6.89912015488075e-7,6.8312311043326e-7,6.8312311043326e-7
1695646800,6.8312311043326e-7,6.91247704462839e-7,6.77367867525553e-7,6.91247704462839e-7
1695650400,6.91247704462839e-7,6.93839492688699e-7,6.84119467280999e-7,6.84119467280999e-7
1695654000,6.84119467280999e-7,6.95265186375269e-7,6.84352216932998e-7,6.95265186375269e-7
1695657600,6.95265186375269e-7,7.11148612922882e-7,6.91664220057719e-7,7.01026390229468e-7
1695661200,7.01026390229468e-7,7.17909801769356e-7,6.97006533014463e-7,7.17432776739598e-7
1695664800,7.17432776739598e-7,7.16130980997268e-7,7.08216479178044e-7,7.09861979029151e-7
1695668400,7.09861979029151e-7,7.14053858948939e-7,7.03791554107639e-7,7.13632597332372e-7
1695672000,7.13632597332372e-7,7.1448103864509e-7,7.06462682118011e-7,7.06462682118011e-7
1695675600,7.06462682118011e-7,7.07010042902196e-7,7.02690308538881e-7,7.06765142477875e-7
1695679200,7.06765142477875e-7,7.11429132693711e-7,7.01786351780736e-7,7.11429132693711e-7
1695682800,7.11429132693711e-7,7.14616579231352e-7,7.09361072333085e-7,7.09361072333085e-7
1695686400,7.09361072333085e-7,7.1287624972156e-7,7.05682583184802e-7,7.05682583184802e-7
1695690000,7.05682583184802e-7,7.09859000008413e-7,7.01577163845867e-7,7.09859000008413e-7
1695693600,7.09859000008413e-7,7.1425117653244e-7,7.06248023544336e-7,7.09963127339113e-7
1695697200,7.09963127339113e-7,7.15342790605755e-7,7.10270377913167e-7,7.11115082217357e-7
1695700800,7.11115082217357e-7,7.22535699276309e-7,7.11005507872189e-7,7.1636028601745e-7
1695704400,7.1636028601745e-7,7.19855505632363e-7,7.12292827026526e-7,7.12292827026526e-7
1695708000,7.12292827026526e-7,7.1620053728232e-7,7.10839580017809e-7,7.10839580017809e-7
1695711600,7.10839580017809e-7,7.1638057544091e-7,7.09423073100435e-7,7.09423073100435e-7
1695715200,7.09423073100435e-7,7.13827392257204e-7,7.04549977131258e-7,7.09280659041134e-7
1695718800,7.09280659041134e-7,7.08402883541299e-7,6.98998610598929e-7,7.06791252801111e-7
1695722400,7.06791252801111e-7,7.08991818163671e-7,7.05443446551595e-7,7.08991818163671e-7
1695726000,7.08991818163671e-7,7.04979636648695e-7,7.00985045642436e-7,7.00985045642436e-7
1695729600,7.00985045642436e-7,7.04514262497069e-7,6.96168042754213e-7,6.96168042754213e-7
1695733200,6.96168042754213e-7,6.98135248013829e-7,6.92910754655487e-7,6.92910754655487e-7
1695736800,6.92910754655487e-7,6.99397792778618e-7,6.93411990405461e-7,6.94071245592105e-7
1695740400,6.94071245592105e-7,6.98398892910621e-7,6.94409040367829e-7,6.94409040367829e-7
1695744000,6.94409040367829e-7,7.00501253249343e-7,6.94023482527811e-7,7.00501253249343e-7
1695747600,7.00501253249343e-7,7.01535710943659e-7,6.93376153778256e-7,6.97560669931024e-7
1695751200,6.97560669931024e-7,6.97557842810159e-7,6.9348747470731e-7,6.97557842810159e-7
1695754800,6.97557842810159e-7,6.96612626624182e-7,6.92326489219795e-7,6.96533440607456e-7
1695758400,6.96533440607456e-7,6.94627911315526e-7,6.90338391383339e-7,6.90338391383339e-7
1695762000,6.90338391383339e-7,6.9454325023615e-7,6.84652537234632e-7,6.9454325023615e-7
1695765600,6.9454325023615e-7,6.94784837300173e-7,6.90634167353985e-7,6.90695363699204e-7
1695769200,6.90695363699204e-7,6.95354865010606e-7,6.91188346447031e-7,6.91188346447031e-7
1695772800,6.91188346447031e-7,7.05630649405386e-7,6.91697959705992e-7,7.05630649405386e-7
1695776400,7.05630649405386e-7,7.11306228116774e-7,7.016448492808e-7,7.11196837971161e-7
1695780000,7.11196837971161e-7,7.09892983964619e-7,7.02943543125964e-7,7.07163215297843e-7
1695783600,7.07163215297843e-7,7.0991092940229e-7,7.02816457660295e-7,7.0991092940229e-7
1695787200,7.0991092940229e-7,7.11016598322273e-7,7.04831380547587e-7,7.06863213756628e-7
1695790800,7.06863213756628e-7,7.09924448310792e-7,7.04834415444356e-7,7.08871856984941e-7
1695794400,7.08871856984941e-7,7.04527161234279e-7,7.0338036978828e-7,7.0338036978828e-7
1695798000,7.0338036978828e-7,7.08203904141093e-7,7.07445348505781e-7,7.08203904141093e-7
1695801600,7.08203904141093e-7,7.0815112140424e-7,7.03853651859251e-7,7.03853651859251e-7
1695805200,7.03853651859251e-7,7.22128348975493e-7,7.08165490916697e-7,7.22128348975493e-7
1695808800,7.22128348975493e-7,7.20870336129382e-7,7.1180351133261e-7,7.1180351133261e-7
1695812400,7.1180351133261e-7,7.18074321821708e-7,7.12345400720999e-7,7.15640740250979e-7
1695816000,7.15640740250979e-7,7.2172062910109e-7,7.1436490618373e-7,7.2172062910109e-7
1695819600,7.2172062910109e-7,7.66264148787136e-7,7.21285560891166e-7,7.59172484781982e-7
1695823200,7.59172484781982e-7,7.57940866859156e-7,7.19183257215474e-7,7.24010351839828e-7
1695826800,7.24010351839828e-7,7.34426404502109e-7,7.19667312112351e-7,7.3033584572708e-7
1695830400,7.3033584572708e-7,7.45143683203249e-7,7.27778345054753e-7,7.36814195613128e-7
1695834000,7.36814195613128e-7,7.45190276113553e-7,7.36557649660095e-7,7.43084451438758e-7
1695837600,7.43084451438758e-7,7.44120498903125e-7,7.33079659442642e-7,7.33079659442642e-7
1695841200,7.33079659442642e-7,7.37435463633538e-7,7.30367309933231e-7,7.30915780607014e-7
1695844800,7.30915780607014e-7,7.39995430112049e-7,7.2639648053544e-7,7.31081094033381e-7
1695848400,7.31081094033381e-7,7.31524301150808e-7,7.26078098759163e-7,7.30851396206244e-7
1695852000,7.30851396206244e-7,7.34933392341335e-7,7.26568605659084e-7,7.30649801423178e-7
1695855600,7.30649801423178e-7,7.3695370601206e-7,7.3056773555912e-7,7.3695370601206e-7
1695859200,7.3695370601206e-7,7.46324156486422e-7,7.30489176982046e-7,7.46324156486422e-7
1695862800,7.46324156486422e-7,7.46612301775107e-7,7.40681017223592e-7,7.45845882408111e-7
1695866400,7.45845882408111e-7,7.51491516636411e-7,7.39918173692382e-7,7.44247761908886e-7
1695870000,7.44247761908886e-7,7.44255404930424e-7,7.35659250610001e-7,7.35664747648155e-7
1695873600,7.35664747648155e-7,7.40213943294942e-7,7.29895484935569e-7,7.36564742334627e-7
1695877200,7.36564742334627e-7,7.36958260746398e-7,7.29760996961431e-7,7.34159202194041e-7
1695880800,7.34159202194041e-7,7.35893701266869e-7,7.31141893222355e-7,7.35893701266869e-7
1695884400,7.35893701266869e-7,7.38983355128778e-7,7.33735876967723e-7,7.38983355128778e-7
1695888000,7.38983355128778e-7,7.39018247863684e-7,7.23948445047621e-7,7.24179603082043e-7
1695891600,7.24179603082043e-7,7.24156582836972e-7,7.10620532233882e-7,7.10620532233882e-7
1695895200,7.10620532233882e-7,7.21221539392305e-7,7.10659689805055e-7,7.21221539392305e-7
1695898800,7.21221539392305e-7,7.2011641629184e-7,7.14026250617346e-7,7.14026250617346e-7
1695902400,7.14026250617346e-7,7.18233344211891e-7,7.11142973561324e-7,7.11142973561324e-7
1695906000,7.11142973561324e-7,7.15460843984797e-7,7.10207609027081e-7,7.10207609027081e-7
1695909600,7.10207609027081e-7,7.25147024194036e-7,7.11221098755337e-7,7.25147024194036e-7
1695913200,7.25147024194036e-7,7.29535950142588e-7,7.22665178806796e-7,7.24817851897026e-7
1695916800,7.24817851897026e-7,7.35347984199866e-7,7.28234118484839e-7,7.28234118484839e-7
1695920400,7.28234118484839e-7,7.32611376048361e-7,7.2810213384387e-7,7.2810213384387e-7
1695924000,7.2810213384387e-7,7.28840301346016e-7,7.18839469152226e-7,7.23167177722121e-7
1695927600,7.23167177722121e-7,7.39960944536423e-7,7.18710322077315e-7,7.29204215638228e-7
1695931200,7.29204215638228e-7,7.31581443636674e-7,7.26378960112727e-7,7.26718119321954e-7
1695934800,7.26718119321954e-7,7.3984039852818e-7,7.25020403142592e-7,7.26243014877777e-7
1695938400,7.26243014877777e-7,7.37000127217247e-7,7.30829173186031e-7,7.37000127217247e-7
1695942000,7.37000127217247e-7,7.37366543807924e-7,7.32052568056509e-7,7.36638141570584e-7
1695945600,7.36638141570584e-7,7.380991294375e-7,7.31822006938453e-7,7.36273176725758e-7
1695949200,7.36273176725758e-7,7.50081805777557e-7,7.2741197618935e-7,7.50081805777557e-7
1695952800,7.50081805777557e-7,7.50375483993279e-7,7.38127318569874e-7,7.42563950087243e-7
1695956400,7.42563950087243e-7,7.47043936001132e-7,7.38801968709856e-7,7.47017552904254e-7
1695960000,7.47017552904254e-7,7.71880557868561e-7,7.42567657277646e-7,7.71880557868561e-7
1695963600,7.71880557868561e-7,8.30444665983333e-7,7.67042221420093e-7,8.14191490079136e-7
1695967200,8.14191490079136e-7,8.40676714821561e-7,8.02747622303817e-7,8.09731337223715e-7
1695970800,8.09731337223715e-7,8.17189224810574e-7,8.04783557798764e-7,8.07840747217694e-7
1695974400,8.07840747217694e-7,8.11643905010255e-7,7.9769280525292e-7,8.0282913509499e-7
1695978000,8.0282913509499e-7,8.05537395716008e-7,7.94485347986216e-7,8.03987873324477e-7
1695981600,8.03987873324477e-7,8.09471617279525e-7,7.97900805483621e-7,7.97900805483621e-7
1695985200,7.97900805483621e-7,8.0468614764062e-7,7.97290096689289e-7,7.97697730153317e-7
1695988800,7.97697730153317e-7,7.97893673106207e-7,7.83706438428907e-7,7.88871243683869e-7
1695992400,7.88871243683869e-7,7.87307022293362e-7,7.76417707310614e-7,7.76417707310614e-7
1695996000,7.76417707310614e-7,7.87920933330091e-7,7.65499195051608e-7,7.81014531486046e-7
1695999600,7.81014531486046e-7,7.88159078079143e-7,7.81406807914118e-7,7.82374697778988e-7
1696003200,7.82374697778988e-7,8.00225236735411e-7,7.7692669843735e-7,7.93431791270663e-7
1696006800,7.93431791270663e-7,7.93671819536045e-7,7.8398403180017e-7,7.90464951454735e-7
1696010400,7.90464951454735e-7,7.90991352133078e-7,7.78087370880207e-7,7.87385722747633e-7
1696014000,7.87385722747633e-7,7.87847901981988e-7,7.75760947151499e-7,7.7975453302266e-7
1696017600,7.7975453302266e-7,7.79803292707411e-7,7.73484881868933e-7,7.74384704591183e-7
1696021200,7.74384704591183e-7,7.79089247587109e-7,7.7337694743148e-7,7.78450438850305e-7
1696024800,7.78450438850305e-7,7.84882921083851e-7,7.72902144184249e-7,7.84882921083851e-7
1696028400,7.84882921083851e-7,7.93977448810884e-7,7.80851051388317e-7,7.86531595829617e-7
1696032000,7.86531595829617e-7,7.94195450370934e-7,7.83471041844353e-7,7.90153560936275e-7
1696035600,7.90153560936275e-7,8.05392459323465e-7,7.81461772967128e-7,7.84315288743275e-7
1696039200,7.84315288743275e-7,7.90343894637311e-7,7.78997158938403e-7,7.79587403960957e-7
