Date,Open,High,Low,Close
1695567600,26503.2062036463,26503.2062036463,26503.0554554266,26503.0554554266
1695571200,26503.0554554266,26502.7362289181,26502.7362289181,26502.7362289181
1695574800,26502.7362289181,26553.0517271362,26502.7362289181,26553.0517271362
1695578400,26553.0517271362,26558.6347405826,26365.8957419357,26449.0148658871
1695582000,26449.0148658871,26449.217103347,26381.607367648,26381.9517925877
1695585600,26381.9517925877,26382.97416572,26381.7473721101,26382.97416572
1695589200,26382.97416572,26396.9625638249,26396.5833314428,26396.9625638249
1695592800,26396.9625638249,26397.0293804997,26396.9648493613,26396.9648493613
1695596400,26396.9648493613,26396.8065682639,26185.7661756515,26185.7661756515
1695600000,26185.7661756515,26176.8018266467,25989.8081160869,26089.2984447268
1695603600,26089.2984447268,26220.0384098055,26102.2365855157,26195.8963509148
1695607200,26195.8963509148,26186.475446191,26185.3621405224,26185.3621405224
1695610800,26185.3621405224,26185.3621405224,26179.7994797261,26179.7994797261
1695614400,26179.7994797261,26177.6087088882,26177.6087088882,26177.6087088882
1695618000,26177.6087088882,26158.9283478083,26142.6850751074,26142.6850751074
1695621600,26142.6850751074,26116.1887290735,26104.3006597313,26104.7348584959
1695625200,26104.7348584959,26097.4020638367,26095.1856297875,26095.489593873
1695628800,26095.489593873,26109.6687348205,26095.489593873,26109.6687348205
1695632400,26109.6687348205,26111.2570007668,26110.803488295,26110.803488295
1695639600,26110.803488295,26031.3225546251,26031.3225546251,26031.3225546251
1695643200,26031.3225546251,25983.6620316015,25963.0139754798,25963.0139754798
1695646800,25963.0139754798,25965.887641614,25965.887641614,25965.887641614
1695650400,25965.887641614,26014.2214857962,26014.2214857962,26014.2214857962
1695654000,26014.2214857962,26213.4076603851,26045.5162731151,26213.4076603851
1695657600,26213.4076603851,26281.0134054587,26213.3340917506,26280.9853782715
1695661200,26280.9853782715,26279.8776880202,26272.8632654771,26272.8632654771
1695664800,26272.8632654771,26272.6662122595,26272.2650034315,26272.2737874752
1695668400,26272.2737874752,26272.2737874752,26272.1529292607,26272.1529292607
1695672000,26272.1529292607,26278.1389736104,26263.8269568263,26263.8269568263
1695675600,26263.8269568263,26197.4446185823,26197.438634356,26197.438634356
1695679200,26197.438634356,26195.7945021667,26194.9667349193,26194.9667349193
1695682800,26194.9667349193,26194.6997568231,26194.0687002876,26194.0687002876
1695686400,26194.0687002876,26194.2703912915,26194.0050184931,26194.2703912915
1695690000,26194.2703912915,26197.933388122,26194.4908085817,26197.933388122
1695693600,26197.933388122,26220.5856055825,26203.720071885,26220.4395035804
1695697200,26220.4395035804,26247.1077749018,26238.4962081926,26247.1077749018
1695700800,26247.1077749018,26250.6374057593,26248.2346005945,26250.6374057593
1695704400,26250.6374057593,26257.0040122669,26251.8134944631,26251.8134944631
1695708000,26251.8134944631,26253.9438662259,26252.9050473045,26253.9438662259
1695711600,26253.9438662259,26253.6366295723,26245.7124605682,26245.7124605682
1695715200,26245.7124605682,26245.9115029205,26245.9115029205,26245.9115029205
1695718800,26245.9115029205,26246.2489897446,26230.5719363743,26230.5719363743
1695722400,26230.5719363743,26263.502974411,26169.016019703,26169.016019703
1695726000,26169.016019703,26188.2952985342,26168.5619011822,26168.5619011822
1695729600,26168.5619011822,26177.8263584701,26168.5605524344,26177.8192373102
1695733200,26177.8192373102,26177.9742481501,26166.5223416061,26166.5223416061
1695736800,26166.5223416061,26133.3633734161,26131.0476985068,26131.0476985068
1695740400,26131.0476985068,26130.9319571216,26130.3032574873,26130.3032574873
1695744000,26130.3032574873,26153.9121589542,26114.6372293828,26153.9121589542
1695747600,26153.9121589542,26153.8405499065,26153.1322913826,26153.1562711231
1695751200,26153.1562711231,26150.2616078847,26150.2616078847,26150.2616078847
1695754800,26150.2616078847,26151.5688754192,26148.1081526682,26150.0873816289
1695758400,26150.0873816289,26151.3639468277,26149.5825982737,26150.7966190722
1695762000,26150.7966190722,26150.8061589354,26148.1348722964,26150.8061589354
1695765600,26150.8061589354,26146.3302349762,26145.2035312535,26145.2035312535
1695769200,26145.2035312535,26173.3815065539,26143.7569523365,26173.3722540755
1695772800,26173.3722540755,26199.0393446846,26198.174932429,26198.174932429
1695776400,26198.174932429,26197.7964220038,26196.8155396035,26196.8155396035
1695780000,26196.8155396035,26203.4899539361,26196.8185773302,26196.8185773302
1695783600,26196.8185773302,26196.7058803497,26196.7058803497,26196.7058803497
